问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,Properties\Resources.Designer.cs,76,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""ReadyIcon"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,Properties\Resources.Designer.cs,75,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap ReadyIcon
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,Properties\Resources.Designer.cs,66,12,T:System.Drawing.Icon,,,,,"get {                  object obj = ResourceManager.GetObject(""MainIcon"", resourceCulture);                  return ((System.Drawing.Icon)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,Properties\Resources.Designer.cs,65,8,T:System.Drawing.Icon,,,,,public static System.Drawing.Icon MainIcon
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,Properties\Settings.Designer.cs,16,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,Properties\Settings.Designer.cs,16,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,128,43,T:System.Windows.Forms.Label,,,,,label2
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,127,43,T:System.Windows.Forms.Label,,,,,label1
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,126,44,T:System.Windows.Forms.Button,,,,,button4
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,125,44,T:System.Windows.Forms.Button,,,,,button3
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,124,44,T:System.Windows.Forms.Button,,,,,button2
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,123,44,T:System.Windows.Forms.Button,,,,,button1
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,117,12,M:System.Windows.Forms.Control.PerformLayout,,,,,this.PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,116,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,115,12,P:System.Windows.Forms.Form.Text,,,,,"this.Text = ""Win32APIDesktop"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,114,12,P:System.Windows.Forms.Control.Name,,,,,"this.Name = ""Win32APIDesktop"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,113,12,T:System.Windows.Forms.Padding,,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,113,12,"M:System.Windows.Forms.Padding.#ctor(System.Int32,System.Int32,System.Int32,System.Int32)",,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,113,12,T:System.Windows.Forms.Padding,,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,113,12,P:System.Windows.Forms.Form.Margin,,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,112,12,T:System.Drawing.GraphicsUnit,,,,,"this.Font = new System.Drawing.Font(""微软雅黑"", 9F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(134)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,112,12,T:System.Drawing.GraphicsUnit,,,,,"this.Font = new System.Drawing.Font(""微软雅黑"", 9F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(134)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,112,12,F:System.Drawing.GraphicsUnit.Point,,,,,"this.Font = new System.Drawing.Font(""微软雅黑"", 9F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(134)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,112,12,T:System.Drawing.FontStyle,,,,,"this.Font = new System.Drawing.Font(""微软雅黑"", 9F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(134)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,112,12,T:System.Drawing.FontStyle,,,,,"this.Font = new System.Drawing.Font(""微软雅黑"", 9F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(134)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,112,12,F:System.Drawing.FontStyle.Regular,,,,,"this.Font = new System.Drawing.Font(""微软雅黑"", 9F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(134)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,112,12,T:System.Drawing.Font,,,,,"this.Font = new System.Drawing.Font(""微软雅黑"", 9F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(134)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,112,12,"M:System.Drawing.Font.#ctor(System.String,System.Single,System.Drawing.FontStyle,System.Drawing.GraphicsUnit,System.Byte)",,,,,"this.Font = new System.Drawing.Font(""微软雅黑"", 9F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(134)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,112,12,T:System.Drawing.Font,,,,,"this.Font = new System.Drawing.Font(""微软雅黑"", 9F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(134)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,112,12,P:System.Windows.Forms.Control.Font,,,,,"this.Font = new System.Drawing.Font(""微软雅黑"", 9F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(134)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,111,12,T:System.Windows.Forms.Button,,,,,this.Controls.Add(this.button1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,111,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.button1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,111,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.button1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,111,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.button1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,110,12,T:System.Windows.Forms.Button,,,,,this.Controls.Add(this.button2);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,110,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.button2);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,110,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.button2);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,110,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.button2);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,109,12,T:System.Windows.Forms.Button,,,,,this.Controls.Add(this.button3);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,109,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.button3);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,109,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.button3);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,109,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.button3);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,108,12,T:System.Windows.Forms.Button,,,,,this.Controls.Add(this.button4);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,108,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.button4);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,108,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.button4);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,108,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.button4);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,107,12,T:System.Windows.Forms.Label,,,,,this.Controls.Add(this.label1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,107,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.label1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,107,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.label1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,107,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.label1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,106,12,T:System.Windows.Forms.Label,,,,,this.Controls.Add(this.label2);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,106,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.label2);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,106,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.label2);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,106,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.label2);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,105,12,P:System.Windows.Forms.Form.ClientSize,,,,,"this.ClientSize = new System.Drawing.Size(513, 246);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,104,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,104,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,104,12,F:System.Windows.Forms.AutoScaleMode.Font,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,104,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,104,12,P:System.Windows.Forms.ContainerControl.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,103,12,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"this.AutoScaleDimensions = new System.Drawing.SizeF(7F, 17F);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,99,12,T:System.Windows.Forms.Label,,,,,"this.label2.Text = ""如果你在主力Windows11/10机器上试图使用这个窗口调试多桌面，后果我已经告诉你了"";"
